Source Name	Comment[ENA_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Characteristics[sex]	Characteristics[cell type]	Characteristics[infect]	Characteristics[time]	Unit[time unit]	Material Type	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[infect]	Factor Value[time]	Unit[time unit]	Factor Value[single cell ID]
day14_mouse2_15123_cell09	ERS985663	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell09	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_9_	sequencing assay	ERX1225290	15123_9_1.fastq.gz	15123_9_1.fastq.gz	ERR1146488	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1146488/ERR1146488_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 73
day14_mouse2_15123_cell09	ERS985663	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell09	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_9_	sequencing assay	ERX1225290	15123_9_2.fastq.gz	15123_9_2.fastq.gz	ERR1146488	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1146488/ERR1146488_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 73
day14_mouse2_15123_cell10	ERS985664	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell10	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_10_	sequencing assay	ERX1225291	15123_10_1.fastq.gz	15123_10_1.fastq.gz	ERR1146489	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1146489/ERR1146489_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 74
day14_mouse2_15123_cell10	ERS985664	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell10	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_10_	sequencing assay	ERX1225291	15123_10_2.fastq.gz	15123_10_2.fastq.gz	ERR1146489	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1146489/ERR1146489_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 74
day14_mouse2_15123_cell20	ERS985665	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell20	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_20_	sequencing assay	ERX1225292	15123_20_1.fastq.gz	15123_20_1.fastq.gz	ERR1146490	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1146490/ERR1146490_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 75
day14_mouse2_15123_cell20	ERS985665	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell20	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_20_	sequencing assay	ERX1225292	15123_20_2.fastq.gz	15123_20_2.fastq.gz	ERR1146490	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1146490/ERR1146490_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 75
day14_mouse2_15123_cell21	ERS985666	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell21	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_21_	sequencing assay	ERX1225293	15123_21_1.fastq.gz	15123_21_1.fastq.gz	ERR1146491	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1146491/ERR1146491_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 76
day14_mouse2_15123_cell21	ERS985666	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell21	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_21_	sequencing assay	ERX1225293	15123_21_2.fastq.gz	15123_21_2.fastq.gz	ERR1146491	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1146491/ERR1146491_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 76
day14_mouse2_15123_cell22	ERS985667	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell22	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_22_	sequencing assay	ERX1225294	15123_22_1.fastq.gz	15123_22_1.fastq.gz	ERR1146492	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1146492/ERR1146492_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 77
day14_mouse2_15123_cell22	ERS985667	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell22	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_22_	sequencing assay	ERX1225294	15123_22_2.fastq.gz	15123_22_2.fastq.gz	ERR1146492	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1146492/ERR1146492_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 77
day14_mouse2_15123_cell32	ERS985668	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell32	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_32_	sequencing assay	ERX1225295	15123_32_1.fastq.gz	15123_32_1.fastq.gz	ERR1146493	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1146493/ERR1146493_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 78
day14_mouse2_15123_cell32	ERS985668	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell32	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_32_	sequencing assay	ERX1225295	15123_32_2.fastq.gz	15123_32_2.fastq.gz	ERR1146493	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1146493/ERR1146493_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 78
day14_mouse2_15123_cell33	ERS985669	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell33	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_33_	sequencing assay	ERX1225296	15123_33_1.fastq.gz	15123_33_1.fastq.gz	ERR1146494	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1146494/ERR1146494_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 79
day14_mouse2_15123_cell33	ERS985669	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell33	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_33_	sequencing assay	ERX1225296	15123_33_2.fastq.gz	15123_33_2.fastq.gz	ERR1146494	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1146494/ERR1146494_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 79
day14_mouse2_15123_cell34	ERS985670	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell34	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_34_	sequencing assay	ERX1225297	15123_34_1.fastq.gz	15123_34_1.fastq.gz	ERR1146495	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1146495/ERR1146495_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 80
day14_mouse2_15123_cell34	ERS985670	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell34	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_34_	sequencing assay	ERX1225297	15123_34_2.fastq.gz	15123_34_2.fastq.gz	ERR1146495	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1146495/ERR1146495_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 80
day14_mouse2_15123_cell44	ERS985671	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell44	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_44_	sequencing assay	ERX1225298	15123_44_1.fastq.gz	15123_44_1.fastq.gz	ERR1146496	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1146496/ERR1146496_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 81
day14_mouse2_15123_cell44	ERS985671	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell44	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_44_	sequencing assay	ERX1225298	15123_44_2.fastq.gz	15123_44_2.fastq.gz	ERR1146496	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1146496/ERR1146496_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 81
day14_mouse2_15123_cell45	ERS985672	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell45	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_45_	sequencing assay	ERX1225299	15123_45_1.fastq.gz	15123_45_1.fastq.gz	ERR1146497	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1146497/ERR1146497_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 82
day14_mouse2_15123_cell45	ERS985672	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell45	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_45_	sequencing assay	ERX1225299	15123_45_2.fastq.gz	15123_45_2.fastq.gz	ERR1146497	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1146497/ERR1146497_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 82
day14_mouse2_15123_cell46	ERS985673	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell46	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_46_	sequencing assay	ERX1225300	15123_46_1.fastq.gz	15123_46_1.fastq.gz	ERR1146498	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1146498/ERR1146498_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 83
day14_mouse2_15123_cell46	ERS985673	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell46	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_46_	sequencing assay	ERX1225300	15123_46_2.fastq.gz	15123_46_2.fastq.gz	ERR1146498	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1146498/ERR1146498_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 83
day14_mouse2_15123_cell56	ERS985674	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell56	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_56_	sequencing assay	ERX1225301	15123_56_1.fastq.gz	15123_56_1.fastq.gz	ERR1146499	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1146499/ERR1146499_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 84
day14_mouse2_15123_cell56	ERS985674	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell56	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_56_	sequencing assay	ERX1225301	15123_56_2.fastq.gz	15123_56_2.fastq.gz	ERR1146499	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1146499/ERR1146499_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 84
day14_mouse2_15123_cell57	ERS985675	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell57	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_57_	sequencing assay	ERX1225302	15123_57_1.fastq.gz	15123_57_1.fastq.gz	ERR1146500	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1146500/ERR1146500_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 85
day14_mouse2_15123_cell57	ERS985675	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell57	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_57_	sequencing assay	ERX1225302	15123_57_2.fastq.gz	15123_57_2.fastq.gz	ERR1146500	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1146500/ERR1146500_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 85
day14_mouse2_15123_cell58	ERS985676	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell58	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_58_	sequencing assay	ERX1225303	15123_58_1.fastq.gz	15123_58_1.fastq.gz	ERR1146501	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1146501/ERR1146501_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 86
day14_mouse2_15123_cell58	ERS985676	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell58	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_58_	sequencing assay	ERX1225303	15123_58_2.fastq.gz	15123_58_2.fastq.gz	ERR1146501	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1146501/ERR1146501_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 86
day14_mouse2_15123_cell68	ERS985677	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell68	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_68_	sequencing assay	ERX1225304	15123_68_1.fastq.gz	15123_68_1.fastq.gz	ERR1146502	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1146502/ERR1146502_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 87
day14_mouse2_15123_cell68	ERS985677	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell68	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_68_	sequencing assay	ERX1225304	15123_68_2.fastq.gz	15123_68_2.fastq.gz	ERR1146502	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1146502/ERR1146502_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 87
day14_mouse2_15123_cell69	ERS985678	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse2_15123_cell69	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_69_	sequencing assay	ERX1225305	15123_69_1.fastq.gz	15123_69_1.fastq.gz	ERR1146503	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1146503/ERR1146503_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 88
